aou,SPEC,term,Estimate,std.error,p.value
6770,KEWA,deltaED:tmin,0.003248319,0.006516437,0.618145156
6630,YTWA,tmax,0.001012223,0.005461167,0.852955212
6630,YTWA,deltaED,-0.00104165,0.005052441,0.836659958
6630,YTWA,tmin,-0.005830214,0.008283765,0.481549769
6630,YTWA,deltaProp,-0.002361275,0.003730644,0.526772642
6630,YTWA,tmax:deltaED,3.82E-05,0.006200629,0.995089444
6630,YTWA,deltaED:tmin,0.016983211,0.008989283,0.058855232
7290,BHNU,tmax,0.003298164,0.007923294,0.677218511
7290,BHNU,deltaED,-0.000476269,0.005627165,0.932549685
7290,BHNU,tmin,-0.005245407,0.007510783,0.484937409
7290,BHNU,deltaProp,0.000607674,0.00499332,0.903138632
7290,BHNU,tmax:deltaED,-0.004243134,0.008729997,0.626938348
7290,BHNU,deltaED:tmin,-0.00237341,0.007803762,0.761023744
4160,NA,tmax,-0.000489369,0.005550297,0.929741709
4160,NA,deltaED,-0.002149768,0.004351965,0.621322828
4160,NA,tmin,0.000256797,0.006881429,0.970231904
4160,NA,deltaProp,0.005110028,0.003101297,0.099412822
4160,NA,tmax:deltaED,0.00134584,0.00585027,0.818054812
4160,NA,deltaED:tmin,-0.014827507,0.009149077,0.105091398
6370,PROW,tmax,0.00797075,0.006030086,0.186224664
6370,PROW,deltaED,-0.006553624,0.005168096,0.204764883
6370,PROW,tmin,0.011087929,0.006552565,0.09061721
6370,PROW,deltaProp,-0.003396946,0.002591992,0.190008459
6370,PROW,tmax:deltaED,0.010102312,0.008176866,0.216653861
6370,PROW,deltaED:tmin,0.006191313,0.009747015,0.525297395
4171,NA,tmax,-0.009306976,0.00810052,0.250582522
4171,NA,deltaED,0.010479738,0.009758161,0.282846874
4171,NA,tmin,-0.01382645,0.009733786,0.15547392
4171,NA,deltaProp,-0.00662906,0.005460746,0.22476772
4171,NA,tmax:deltaED,0.0140917,0.008327797,0.090621513
4171,NA,deltaED:tmin,0.006816029,0.011046538,0.537215934
3880,BBCU,tmax,0.007823104,0.006948609,0.260228233
3880,BBCU,deltaED,-0.003773397,0.00399371,0.344743177
3880,BBCU,tmin,-0.00569277,0.00505882,0.260455217
3880,BBCU,deltaProp,-0.000893653,0.00544856,0.869718194
3880,BBCU,tmax:deltaED,0.006588531,0.007885225,0.403405872
3880,BBCU,deltaED:tmin,-0.017602856,0.007441155,0.018000501
6570,MAWA,tmax,0.00272254,0.007486924,0.716127326
6570,MAWA,deltaED,0.008956438,0.006733898,0.183500945
6570,MAWA,tmin,0.004705559,0.005830891,0.419663523
6570,MAWA,deltaProp,0.002377469,0.00624706,0.703519353
6570,MAWA,tmax:deltaED,0.003260411,0.006367284,0.608611268
6570,MAWA,deltaED:tmin,-0.008467163,0.00598746,0.157318012
6860,CAWA,tmax,-0.000729511,0.008384938,0.930669489
6860,CAWA,deltaED,0.002534129,0.007356311,0.730482568
6860,CAWA,tmin,9.12E-05,0.006406645,0.988646341
6860,CAWA,deltaProp,-0.008885319,0.007705702,0.248876035
6860,CAWA,tmax:deltaED,-0.005731618,0.007302204,0.432502751
6860,CAWA,deltaED:tmin,-0.015905381,0.006911,0.021365728
6750,NOWA,tmax,0.007936938,0.004705461,0.091651312
6750,NOWA,deltaED,-0.015364981,0.004735485,0.001175958
6750,NOWA,tmin,0.002822791,0.005762614,0.624243147
6750,NOWA,deltaProp,-0.001647332,0.005930207,0.78117617
6750,NOWA,tmax:deltaED,-0.001165721,0.005543145,0.833433893
6750,NOWA,deltaED:tmin,0.002453869,0.005315673,0.644347382
