"aou","SPEC","nObs","r2","Estimate","std.error","z.value","p.value","term","sig"
6740,"OVEN",443,0.0458673495616295,-1.0400108845615e-05,0.0030549209598947,-0.00340437902719864,0.997283703781965,"tmax:deltaED","p > 0.05"
6740,"OVEN",443,0.0458673495616295,0.00359883236481432,0.00288950382432502,1.24548454807981,0.212953691912115,"deltaED:tmin","p > 0.05"
4610,"EAWP",556,0.0868962921928707,0.00605459703610036,0.00274121498150674,2.20872754488317,0.0271935973306001,"tmax","p < 0.05"
4610,"EAWP",556,0.0868962921928707,-0.00222916000414349,0.002436391672917,-0.914943204297936,0.360221447248765,"deltaED","p > 0.05"
4610,"EAWP",556,0.0868962921928707,0.00113463149627372,0.00292282602789403,0.388196726539776,0.697870455444143,"tmin","p > 0.05"
4610,"EAWP",556,0.0868962921928707,0.00495632123802389,0.00172238313381018,2.87759508365582,0.00400719127221438,"deltaProp","p < 0.05"
4610,"EAWP",556,0.0868962921928707,0.00198315960198749,0.00310538546992965,0.638619463248926,0.523070516520496,"tmax:deltaED","p > 0.05"
4610,"EAWP",556,0.0868962921928707,-0.00177834082911582,0.00286163188437551,-0.621442904248288,0.534308250188012,"deltaED:tmin","p > 0.05"
6310,"WEVI",277,0.181489284006618,0.00639106305536049,0.00471464749557652,1.35557601312863,0.175234108098309,"tmax","p > 0.05"
6310,"WEVI",277,0.181489284006618,0.000165094374224321,0.00306768810848157,0.0538171966595518,0.957080808421228,"deltaED","p > 0.05"
6310,"WEVI",277,0.181489284006618,-0.00661010832656041,0.00450294356757166,-1.46795273522051,0.142117062026581,"tmin","p > 0.05"
6310,"WEVI",277,0.181489284006618,0.00161369698058475,0.00222522221314759,0.725184644953804,0.468338761595248,"deltaProp","p > 0.05"
6310,"WEVI",277,0.181489284006618,-0.00323381464110383,0.0047876512169793,-0.675449086523926,0.499390488090302,"tmax:deltaED","p > 0.05"
6310,"WEVI",277,0.181489284006618,-0.00185726374425528,0.00389580689063135,-0.476734036464085,0.633551522699684,"deltaED:tmin","p > 0.05"
4770,"BLJA",646,0.0848603481968141,-0.00343662785840814,0.00179312853617412,-1.91655410589843,0.0552946032386679,"tmax","p > 0.05"
4770,"BLJA",646,0.0848603481968141,0.00642531351753957,0.0016689104418693,3.85000498309708,0.000118115421746667,"deltaED","p < 0.05"
