"aou","param","Estimate","Std..Error","Adjusted.SE","z.value","Pr...z.."
7610,"dEDz",0.103665963791045,0.0342798990064875,0.0343074763725939,3.02167267172869,0.0025138
7610,"tmax",2.55698041266034,2.16742857900883,2.1682671352013,1.17927370255647,0.2382892
7610,"tmin",-3.44347478073638,1.41149594664418,1.41262832909456,2.43763678655909,0.0147836
7610,"ppt",0.00468471060799497,0.00755869591426762,0.00756192218579872,0.619513199539775,0.5355783
7660,"(Intercept)",0.0780242797299106,0.0206953949457768,0.0207166713101524,3.76625561905179,0.0001657
7660,"tmax",-1.14112630002374,0.824388353984417,0.824978702637192,1.38321910174884,0.1665977
7660,"ppt",-0.000541930204064668,0.00166544995385761,0.00166701619984383,0.32508994460608,0.745113
7660,"dEDz",0.00175418264600965,0.00737581409478467,0.00738371279530396,0.237574604354237,0.812211
7660,"tmin",0.0355680987210315,0.296404110360838,0.296760396395514,0.119854600388211,0.9045983
4120,"(Intercept)",-0.0394378609526063,0.0126588961735349,0.0126680512849791,3.11317503106173,0.0018509
4120,"dEDz",0.00918910810071688,0.00593223268921357,0.00593676632130086,1.54783051974722,0.1216631
4120,"tmax",0.430875494297225,0.302833908682923,0.303057342268793,1.421762268063,0.1550953
4120,"tmin",-0.356070006390536,0.263336878125898,0.26352396168027,1.35118645044716,0.1766357
4120,"ppt",0.000790277206800457,0.00111023922635779,0.00111092894049241,0.711366117125523,0.4768574
5190,"(Intercept)",-0.00852928034742671,0.0664598298471224,0.0665424325303427,0.128178066582364,0.8980081
5190,"ppt",-0.0241325264513731,0.00666741869025237,0.00667635411994665,3.61462648892057,0.0003008
5190,"tmin",-5.72595562895128,1.30741432485287,1.30916780194094,4.37373698044065,1.22e-05
5190,"tmax",0.836065473196149,1.36249921941517,1.36347368026062,0.613187834352872,0.5397521
5190,"dEDz",-0.00887909490946339,0.0212121004033151,0.0212311848408244,0.41821005167786,0.6757935
6480,"(Intercept)",0.090700091247095,0.0251186628227595,0.0251673663683601,3.60387693807808,0.0003135
6480,"dEDz",0.0165036108846632,0.0157384680284149,0.01575985890212,1.04719280719215,0.2950107
6480,"tmax",0.300078594159515,0.604010938673434,0.605020828950813,0.495980600667735,0.6199081
6480,"tmin",-0.25168403598227,0.530851695931309,0.531769342476345,0.473295498402045,0.6360024
6480,"ppt",0.000885111356416721,0.00189492274068396,0.00189821507695057,0.466286126985478,0.6410107
6730,"(Intercept)",0.0712390855986335,0.0432378165221131,0.0434304815189361,1.64030153724113,0.1009425
6730,"ppt",-0.00919720485905893,0.00349028809380217,0.00350585348113013,2.6233854063103,0.0087061
6730,"tmin",-2.18340637492375,0.883582773028024,0.887524066242138,2.46010948657257,0.0138895
6730,"dEDz",-0.00215429135346772,0.0108282707091128,0.0108717204541687,0.198155513890321,0.8429234
6730,"tmax",-0.0559460585578288,0.51796382291081,0.520206045743262,0.107545959943418,0.9143559
7270,"(Intercept)",0.0222727364146753,0.0140251944977355,0.0140451800480096,1.58579216062322,0.1127865
7270,"tmin",0.854837053179683,0.285125052284172,0.285558043434637,2.99356671203468,0.0027574
7270,"dEDz",-0.00312066161332091,0.0056129090355202,0.00561771039523672,0.555504181199325,0.5785499
