"aou","SPEC","nObs","Estimate","std.error","z.value","p.value","term","r2"
6830,"YBCH",298,-0.0343951829153277,0.0613218126258644,-0.560896383236076,0.574868175756421,"(Intercept)",0.0102273825770858
6830,"YBCH",298,-0.01213560335677,0.0381378252271674,-0.318203864129232,0.750330301837615,"tmax",0.0102273825770858
6830,"YBCH",298,0.000939424458719972,0.00333783844657406,0.281446952498313,0.778367609960452,"mean_tmax",0.0102273825770858
6830,"YBCH",298,0.00864853047237691,0.0139494963826686,0.619988724691322,0.535265210265452,"tmin",0.0102273825770858
6830,"YBCH",298,1.69136755285397e-05,0.0025182947106625,0.00671632095200252,0.994641191495417,"mean_tmin",0.0102273825770858
6830,"YBCH",298,0.000516542282957499,0.00137351163138896,0.376074196354017,0.706861736920469,"tmax:mean_tmax",0.0102273825770858
6830,"YBCH",298,-0.000586925541753932,0.000870586924814489,-0.674172245211468,0.500201812896985,"tmin:mean_tmin",0.0102273825770858
7510,"BGGN",365,0.0687439950282767,0.0574603426205173,1.19637287028168,0.231551083489451,"(Intercept)",0.00375470287784552
7510,"BGGN",365,-0.0281735281320827,0.0382721125107744,-0.736137262455821,0.46164716786308,"tmax",0.00375470287784552
7510,"BGGN",365,-0.0043303240557245,0.00325789620547578,-1.32917802858367,0.183789242032994,"mean_tmax",0.00375470287784552
7510,"BGGN",365,0.0187519310223095,0.0201223177498473,0.931897172851861,0.351389668834374,"tmin",0.00375470287784552
7510,"BGGN",365,0.00337313344150122,0.00270083724749749,1.24892140191959,0.21169382289388,"mean_tmin",0.00375470287784552
7510,"BGGN",365,0.00106989245053001,0.00141049909552909,0.75852047968076,0.448139457544736,"tmax:mean_tmax",0.00375470287784552
7510,"BGGN",365,-0.00125262843822422,0.00125087472096276,-1.00140199272723,0.316632501084493,"tmin:mean_tmin",0.00375470287784552
3750,"GHOW",10,0.0595499846771825,0.0495610277571941,1.20154862342495,0.229538457034813,"(Intercept)",0.0193823270618709
3750,"GHOW",10,-0.141085406213675,0.064756038140714,-2.17872201982306,0.0293523249385532,"tmax",0.0193823270618709
