"aou","SPEC","nObs","Estimate","std.error","z.value","p.value","term","r2","sig"
6730,"PRAW",188,-0.00207086531912595,0.0037453790722806,-0.552912076230771,0.580323617770894,"deltaProp",0.00241537921354396,"p > 0.05"
6730,"PRAW",188,-0.00596975503818364,0.00612987722179352,-0.973878402810321,0.330116918366411,"tmin",0.00241537921354396,"p > 0.05"
6730,"PRAW",188,-0.00236877982612538,0.00386021123050594,-0.613639949908885,0.539453278099655,"deltaED",0.00241537921354396,"p > 0.05"
6730,"PRAW",188,-0.00215116491570375,0.00521614881737127,-0.412404820303392,0.680042730654973,"tmax:deltaProp",0.00241537921354396,"p > 0.05"
6730,"PRAW",188,0.00554802955378489,0.00438798236879586,1.26436915363162,0.206097559067467,"deltaProp:tmin",0.00241537921354396,"p > 0.05"
4120,"NOFL",519,0.00166033064364593,0.00199554034592989,0.832020583814474,0.405397326071406,"tmax",0.000208399280553162,"p > 0.05"
4120,"NOFL",519,-0.00173378857691404,0.00187803133164832,-0.923194702716874,0.355905748930583,"deltaProp",0.000208399280553162,"p > 0.05"
4120,"NOFL",519,-0.00728728422093013,0.00237444489846371,-3.06904751744085,0.00214742432424275,"tmin",0.000208399280553162,"p < 0.05"
4120,"NOFL",519,0.00789272712370417,0.00169880033260425,4.64605932329003,3.38335746019602e-06,"deltaED",0.000208399280553162,"p < 0.05"
4120,"NOFL",519,-0.000525912295295871,0.00248247074056623,-0.211850350016981,0.832223786275783,"tmax:deltaProp",0.000208399280553162,"p > 0.05"
4120,"NOFL",519,0.000403420708217785,0.0023007613673748,0.175342264494859,0.860810703887982,"deltaProp:tmin",0.000208399280553162,"p > 0.05"
6280,"YTVI",301,-0.000832952270902835,0.0033170822706581,-0.251109922196045,0.801729124835404,"tmax",0.00429164989050101,"p > 0.05"
6280,"YTVI",301,0.00262818405996491,0.00201474751890861,1.30447315869564,0.192072305439903,"deltaProp",0.00429164989050101,"p > 0.05"
6280,"YTVI",301,-0.00375585301585212,0.00345099168488528,-1.0883402102364,0.276444945441399,"tmin",0.00429164989050101,"p > 0.05"
6280,"YTVI",301,0.0012700461141154,0.00226782334939443,0.56002867880099,0.575459876286535,"deltaED",0.00429164989050101,"p > 0.05"
6280,"YTVI",301,0.000718592244261486,0.00301723338095804,0.238162632296384,0.811754958403957,"tmax:deltaProp",0.00429164989050101,"p > 0.05"
6280,"YTVI",301,-2.48296306323741e-05,0.00279599895750003,-0.00888041483912958,0.992914547235011,"deltaProp:tmin",0.00429164989050101,"p > 0.05"
6740,"OVEN",443,0.00407545549993673,0.00207757834058653,1.9616374604609,0.0498047077070132,"tmax",0.00197469256959881,"p < 0.05"
6740,"OVEN",443,0.000211645748561531,0.00235460751554781,0.0898857865542361,0.928377976114274,"deltaProp",0.00197469256959881,"p > 0.05"
6740,"OVEN",443,-0.0024391962023808,0.00221915150967082,-1.09915712908788,0.27169953467413,"tmin",0.00197469256959881,"p > 0.05"
6740,"OVEN",443,0.000584344506320514,0.00197279988120941,0.296200598898195,0.767076891495143,"deltaED",0.00197469256959881,"p > 0.05"
6740,"OVEN",443,-0.000457732798185731,0.00263678064392209,-0.173595327029128,0.862183504751814,"tmax:deltaProp",0.00197469256959881,"p > 0.05"
6740,"OVEN",443,-0.000346443989952488,0.00251912187197385,-0.137525696476539,0.890615282861386,"deltaProp:tmin",0.00197469256959881,"p > 0.05"
4610,"EAWP",556,0.0056368348573562,0.00234603937664898,2.40270257757042,0.0162744178010632,"tmax",0.00030669529079308,"p < 0.05"
4610,"EAWP",556,0.00583945830747238,0.00176677946689085,3.30514272828208,0.000949280448087286,"deltaProp",0.00030669529079308,"p < 0.05"
4610,"EAWP",556,-0.000712188622717506,0.00274901738549457,-0.259070250510394,0.795581038014876,"tmin",0.00030669529079308,"p > 0.05"
4610,"EAWP",556,-0.00280895523252403,0.00179582747237869,-1.56415651042657,0.117780817586547,"deltaED",0.00030669529079308,"p > 0.05"
4610,"EAWP",556,-0.0021909374155219,0.00246872274141496,-0.887478119258605,0.374821541413742,"tmax:deltaProp",0.00030669529079308,"p > 0.05"
4610,"EAWP",556,-0.00440439243597439,0.00229117340948491,-1.92233046077668,0.0545641894857058,"deltaProp:tmin",0.00030669529079308,"p > 0.05"
6310,"WEVI",277,0.00347419067991943,0.00429028761042135,0.809780367982888,0.418066417792212,"tmax",0.0021999100159803,"p > 0.05"
6310,"WEVI",277,0.00149642735621104,0.00223401680546509,0.669837108006672,0.502961635312431,"deltaProp",0.0021999100159803,"p > 0.05"
6310,"WEVI",277,-0.00533346691475257,0.00458517186842509,-1.1631989089614,0.244748809108793,"tmin",0.0021999100159803,"p > 0.05"
6310,"WEVI",277,-0.00131914849148598,0.00276593234180954,-0.476927244945899,0.633413930430765,"deltaED",0.0021999100159803,"p > 0.05"
6310,"WEVI",277,-0.00418264391367651,0.00301982850588011,-1.38506008057484,0.16603409695679,"tmax:deltaProp",0.0021999100159803,"p > 0.05"
6310,"WEVI",277,0.00102130433605746,0.00301058405926655,0.339237940529809,0.734430489646095,"deltaProp:tmin",0.0021999100159803,"p > 0.05"
4770,"BLJA",646,-0.00325496435741465,0.00151641524294776,-2.14648617689131,0.0318342104494,"tmax",0.000212994640243047,"p < 0.05"
4770,"BLJA",646,0.000577531452186036,0.00127432649579402,0.453205245352905,0.650400955744797,"deltaProp",0.000212994640243047,"p > 0.05"
4770,"BLJA",646,-0.0026659849503791,0.00183222582955877,-1.45505259633912,0.145654701114574,"tmin",0.000212994640243047,"p > 0.05"
4770,"BLJA",646,0.00521330204091015,0.0012920116193154,4.03502721103432,5.45959699900234e-05,"deltaED",0.000212994640243047,"p < 0.05"
4770,"BLJA",646,-0.00233832421312695,0.00169800996861933,-1.37709687006624,0.16848230027514,"tmax:deltaProp",0.000212994640243047,"p > 0.05"
4770,"BLJA",646,0.00154187121873982,0.00168987844699047,0.912415458925913,0.361550054735102,"deltaProp:tmin",0.000212994640243047,"p > 0.05"
6390,"WEWA",75,-0.0080404899479332,0.00545912841569909,-1.47285231921102,0.140790861223743,"tmax",0.00410338352085804,"p > 0.05"
6390,"WEWA",75,-0.00575541984829565,0.00491119458929117,-1.17189814894431,0.24123795033546,"deltaProp",0.00410338352085804,"p > 0.05"
6390,"WEWA",75,0.00266403201980194,0.00675714499763579,0.3942540852289,0.693393458312293,"tmin",0.00410338352085804,"p > 0.05"
6390,"WEWA",75,-0.0106835174519394,0.00478066091618289,-2.2347365017617,0.0254346527378235,"deltaED",0.00410338352085804,"p < 0.05"
6390,"WEWA",75,0.00918931723667787,0.00718363963800601,1.27920075334244,0.200826370652829,"tmax:deltaProp",0.00410338352085804,"p > 0.05"
6390,"WEWA",75,0.00922916881676739,0.00665684512468255,1.38641783666366,0.1656193530786,"deltaProp:tmin",0.00410338352085804,"p > 0.05"
5980,"INBU",562,-0.00206692118160325,0.00219371224752674,-0.942202508069854,0.346088970095045,"tmax",0.000567205753907007,"p > 0.05"
5980,"INBU",562,0.00480319948767393,0.0015071049658276,3.18703713184062,0.00143738320334652,"deltaProp",0.000567205753907007,"p < 0.05"
5980,"INBU",562,0.000460556809574673,0.00234659044326702,0.196266379118747,0.844401675161835,"tmin",0.000567205753907007,"p > 0.05"
5980,"INBU",562,0.00203889508126797,0.00154078472083009,1.32328355396043,0.185741098780437,"deltaED",0.000567205753907007,"p > 0.05"
5980,"INBU",562,-0.00183659395317336,0.00210517381856308,-0.87241914989564,0.382979757267506,"tmax:deltaProp",0.000567205753907007,"p > 0.05"
5980,"INBU",562,0.00161782240805376,0.00213275203296785,0.758560949911495,0.448115239856147,"deltaProp:tmin",0.000567205753907007,"p > 0.05"
4900,"FICR",127,0.000373553449046173,0.0103449922034235,0.0361095921292771,0.971194973904098,"tmax",0.00557945011980421,"p > 0.05"
4900,"FICR",127,-0.00136822973182213,0.00486183656793718,-0.28142240338668,0.778386436764016,"deltaProp",0.00557945011980421,"p > 0.05"
4900,"FICR",127,0.00745460831082674,0.0080466724320454,0.926421247264795,0.354227106391315,"tmin",0.00557945011980421,"p > 0.05"
4900,"FICR",127,-0.0104074672080679,0.00603304316356042,-1.72507753150665,0.0845135010979612,"deltaED",0.00557945011980421,"p > 0.05"
4900,"FICR",127,-0.0025730721325593,0.00802255884295885,-0.320729605469656,0.748415309672773,"tmax:deltaProp",0.00557945011980421,"p > 0.05"
4900,"FICR",127,0.0106763903072021,0.00618787375485145,1.72537300051274,0.0844602737943578,"deltaProp:tmin",0.00557945011980421,"p > 0.05"
6360,"BAWW",289,0.0105383507953104,0.00281724218950182,3.74066199724702,0.000183536205256019,"tmax",0.000723949091736675,"p < 0.05"
6360,"BAWW",289,0.00431074519134364,0.00289365677239398,1.48972235839058,0.136297253247507,"deltaProp",0.000723949091736675,"p > 0.05"
6360,"BAWW",289,-0.00840118928351528,0.00344718919758756,-2.43711290618881,0.0148050559007082,"tmin",0.000723949091736675,"p < 0.05"
6360,"BAWW",289,-0.00310472441780881,0.00300070750177076,-1.03466413036814,0.300825793055963,"deltaED",0.000723949091736675,"p > 0.05"
6360,"BAWW",289,-0.00021281467949333,0.00333240282545637,-0.063862231140734,0.949079926045173,"tmax:deltaProp",0.000723949091736675,"p > 0.05"
6360,"BAWW",289,-0.00443402298359109,0.00312488013294888,-1.41894178174662,0.1559159898196,"deltaProp:tmin",0.000723949091736675,"p > 0.05"
6710,"PIWA",290,-0.00475057118388335,0.00532290333789516,-0.892477447422871,0.372137075644206,"tmax",0.00135568038099609,"p > 0.05"
6710,"PIWA",290,0.00461550761094912,0.00271147318309363,1.70221399928547,0.0887152594092626,"deltaProp",0.00135568038099609,"p > 0.05"
6710,"PIWA",290,-0.00844088385012194,0.00478610055553946,-1.76362442706148,0.0777952323223108,"tmin",0.00135568038099609,"p > 0.05"
6710,"PIWA",290,0.00316039767258748,0.00308236496914177,1.02531585462037,0.305214177235967,"deltaED",0.00135568038099609,"p > 0.05"
6710,"PIWA",290,-0.00667704091773621,0.00421480076135776,-1.584188979691,0.113150720369767,"tmax:deltaProp",0.00135568038099609,"p > 0.05"
6710,"PIWA",290,-0.000562985137218497,0.00363652338604716,-0.154814111571121,0.876967865917658,"deltaProp:tmin",0.00135568038099609,"p > 0.05"
6840,"HOWA",221,0.0114807455064766,0.00519417806558074,2.21031034391252,0.0270836312273524,"tmax",0.00234155474499831,"p < 0.05"
6840,"HOWA",221,0.00246227152494635,0.00301291155526152,0.817239895624028,0.413791347310162,"deltaProp",0.00234155474499831,"p > 0.05"
6840,"HOWA",221,-0.00741143122140929,0.00463158271046355,-1.60019407721373,0.10955553567032,"tmin",0.00234155474499831,"p > 0.05"
6840,"HOWA",221,0.000391256277568584,0.0031241728230837,0.125235158144163,0.900337384165956,"deltaED",0.00234155474499831,"p > 0.05"
6840,"HOWA",221,0.00321769285647905,0.00429215997049459,0.749667505078631,0.453454983054479,"tmax:deltaProp",0.00234155474499831,"p > 0.05"
6840,"HOWA",221,-0.00185592897571353,0.00369153686100898,-0.502752388934906,0.615138371426336,"deltaProp:tmin",0.00234155474499831,"p > 0.05"
5950,"RBGR",283,-0.0019274614125769,0.00339681705331396,-0.567431622699979,0.57042097029475,"tmax",0.00507228673012694,"p > 0.05"
5950,"RBGR",283,-0.00377391729716791,0.00390345393420283,-0.966814867238501,0.333636590865318,"deltaProp",0.00507228673012694,"p > 0.05"
5950,"RBGR",283,-0.00232154910672739,0.00359199752974732,-0.646311443006672,0.51807767861547,"tmin",0.00507228673012694,"p > 0.05"
5950,"RBGR",283,-0.00422960627946756,0.00306701810837921,-1.37906139775051,0.167875824446674,"deltaED",0.00507228673012694,"p > 0.05"
5950,"RBGR",283,0.00105395213773635,0.00445127014964668,0.23677559489846,0.812830885694813,"tmax:deltaProp",0.00507228673012694,"p > 0.05"
5950,"RBGR",283,0.00162604805855531,0.00531323974704103,0.306037019967123,0.75957645929822,"deltaProp:tmin",0.00507228673012694,"p > 0.05"
6590,"CSWA",248,0.0114651470935317,0.00402463589401003,2.84874145027519,0.00438925340501739,"tmax",0.00138047137729946,"p < 0.05"
6590,"CSWA",248,0.00641459883353667,0.00495786808804008,1.29382200567431,0.195726909757535,"deltaProp",0.00138047137729946,"p > 0.05"
6590,"CSWA",248,-0.00816419977828218,0.00482559353655965,-1.69185401058514,0.0906738125234554,"tmin",0.00138047137729946,"p > 0.05"
6590,"CSWA",248,-0.0024710879413222,0.0040227346957629,-0.614280614609005,0.53902991032119,"deltaED",0.00138047137729946,"p > 0.05"
6590,"CSWA",248,-0.00267059208057154,0.00528758711954984,-0.505068194658683,0.613510939346576,"tmax:deltaProp",0.00138047137729946,"p > 0.05"
6590,"CSWA",248,-0.0066669290343955,0.00697639611621157,-0.955640838527368,0.339253721552549,"deltaProp:tmin",0.00138047137729946,"p > 0.05"
6760,"LOWA",92,0.00302424178860225,0.00399168123948972,0.757636095458578,0.448668865277921,"tmax",0.0179587786541415,"p > 0.05"
6760,"LOWA",92,-3.2411448053079e-05,0.00423043327330455,-0.00766149610670048,0.993887070347194,"deltaProp",0.0179587786541415,"p > 0.05"
6760,"LOWA",92,-0.00106850222653958,0.0041599678787607,-0.256853480046076,0.797291883501887,"tmin",0.0179587786541415,"p > 0.05"
6760,"LOWA",92,-0.00451804691275361,0.00388346953806135,-1.16340475146589,0.244665322653308,"deltaED",0.0179587786541415,"p > 0.05"
6760,"LOWA",92,-0.000529313689530878,0.00465436412256425,-0.113724168456176,0.909456453155075,"tmax:deltaProp",0.0179587786541415,"p > 0.05"
6760,"LOWA",92,-0.00307102572124243,0.00463694152631968,-0.662295546280027,0.507781830578863,"deltaProp:tmin",0.0179587786541415,"p > 0.05"
6670,"BTNW",196,0.00224907043434956,0.00304465665102582,0.738694273980544,0.460092663559645,"tmax",0.00794336795726702,"p > 0.05"
6670,"BTNW",196,0.00361487831308323,0.00434693386677843,0.831592663672673,0.405638904483692,"deltaProp",0.00794336795726702,"p > 0.05"
6670,"BTNW",196,-0.00370790407014481,0.00394958918765573,-0.938807530092928,0.347829572077858,"tmin",0.00794336795726702,"p > 0.05"
6670,"BTNW",196,0.00162422532172905,0.00401566830255161,0.404471983081121,0.685865676273651,"deltaED",0.00794336795726702,"p > 0.05"
6670,"BTNW",196,0.000729506176423392,0.00431701480669565,0.168983941239195,0.865809272777289,"tmax:deltaProp",0.00794336795726702,"p > 0.05"
6670,"BTNW",196,-0.00632108362943512,0.00558388890958084,-1.13202173821714,0.25762529536775,"deltaProp:tmin",0.00794336795726702,"p > 0.05"
6540,"BTBW",95,0.00403983152302362,0.00625916618125175,0.645426468324845,0.518650855467214,"tmax",0.0279427905895937,"p > 0.05"
6540,"BTBW",95,-0.00603981372139756,0.00777927757702981,-0.776397764649967,0.437514164098505,"deltaProp",0.0279427905895937,"p > 0.05"
6540,"BTBW",95,-0.00364261579816649,0.00656665722212559,-0.554713863530613,0.579090392057966,"tmin",0.0279427905895937,"p > 0.05"
6540,"BTBW",95,-0.00201443972933263,0.00605870292213251,-0.332486962180281,0.739521582962934,"deltaED",0.0279427905895937,"p > 0.05"
6540,"BTBW",95,0.00788815231613939,0.0104014243203138,0.758372322214944,0.448228122422276,"tmax:deltaProp",0.0279427905895937,"p > 0.05"
6540,"BTBW",95,0.00289671707772782,0.00986516594155508,0.293630851714918,0.769039998206975,"deltaProp:tmin",0.0279427905895937,"p > 0.05"
4060,"RHWO",147,0.013229199471822,0.00691349286943306,1.91353339356331,0.0556798027205674,"tmax",0.00185535504335954,"p > 0.05"
4060,"RHWO",147,-0.00840119587995342,0.00292135553757571,-2.87578686397245,0.0040302174607223,"deltaProp",0.00185535504335954,"p < 0.05"
4060,"RHWO",147,0.000484830807828572,0.00726460823811609,0.0667387410218148,0.946789692173449,"tmin",0.00185535504335954,"p > 0.05"
4060,"RHWO",147,0.00566595219529408,0.00370182017090626,1.53058547787506,0.125871873075452,"deltaED",0.00185535504335954,"p > 0.05"
4060,"RHWO",147,0.000670774336051749,0.00443193443673714,0.151350238959217,0.879699440732449,"tmax:deltaProp",0.00185535504335954,"p > 0.05"
4060,"RHWO",147,-0.00534576587852363,0.00515994619733535,-1.0360119416137,0.300196571465634,"deltaProp:tmin",0.00185535504335954,"p > 0.05"
2890,"NOBO",257,0.00368430403364086,0.00612468297280519,0.601550161861422,0.54747361206691,"tmax",0.00225094868292719,"p > 0.05"
2890,"NOBO",257,-0.001029428364372,0.00309706531707286,-0.332388328621029,0.73959605046484,"deltaProp",0.00225094868292719,"p > 0.05"
2890,"NOBO",257,-0.0126579585765078,0.00630802687097428,-2.00664309702802,0.0447876789497321,"tmin",0.00225094868292719,"p < 0.05"
