"aou","stateroute","dist_from_centroid","bearing"
6870,44117,2187322.80028038,90.9847325332025
6870,46001,1722528.96959681,116.653698481754
6870,46003,1726184.3332061,116.868465802015
6870,46006,1802019.76080267,114.076085223193
6870,46014,1857723.15094061,112.610046136733
6870,46015,1861887.36556506,112.540747477775
6870,46020,1916711.98051914,111.915694899868
6870,46030,1925148.19540556,115.496346619755
6870,46032,1929069.95427325,111.064755871636
6870,46033,1940549.92314962,111.256816753238
6870,46035,1968980.12066373,111.637328789742
6870,46041,1994454.84757043,114.422413872174
6870,46051,1710221.85899873,116.173479946346
6870,46052,1724015.96950828,117.418060197273
6870,46053,1722789.26030514,115.604099138837
6870,46054,1758738.681667,115.046426025899
6870,46055,1759659.10681613,114.781456334134
6870,46102,1719323.28720238,116.568936969405
6870,46123,1926002.77019185,113.81358237985
6870,46125,1974292.31332427,115.120011456941
6870,46149,2078664.51336056,113.106051448468
6870,46150,2066201.09995879,113.823900022057
6870,47001,2227966.16011676,98.1542959523065
6870,47007,2127501.16923584,95.9428746949819
6870,47008,2100313.13700053,97.5933814150355
6870,47009,2088811.7223682,97.454873168667
6870,47010,2079826.72017083,98.8616446288813
6870,47014,2039947.44830115,99.0115292868661
6870,47016,2053431.52288919,98.4159328010521
6870,47017,2028878.62330991,97.9472608876398
6870,47019,1998658.40142294,99.228340406539
6870,47022,1966378.10948749,100.64411945404
6870,47102,2203678.23275951,99.8446464247336
6870,47112,2068954.58227848,97.9867187350407
6870,47120,1956203.06294225,99.184768111915
6870,49003,590449.023792012,104.726179847325
6870,49005,695808.77548029,103.994556073828
6870,49009,780794.489317022,100.38514633768
6870,49011,719920.267353389,99.3597136285296
6870,49012,783583.609953249,106.029175584655
6870,49014,834294.825014349,98.7673392200417
6870,49016,825137.410984261,102.34895318813
6870,49017,936649.385387787,111.089061509664
6870,49018,960273.789480599,114.365950965848
6870,49019,987722.456713503,116.969323009066
6870,49020,1093378.23260043,122.970550360795
6870,49021,1056404.92756564,121.288888813613
6870,49022,1076866.45580313,125.413883236666
6870,49023,872792.425573481,95.6108783871562
6870,49024,914176.325199299,95.3978641862082
6870,49025,915153.354666477,98.7701312784048
6870,49027,1014177.37543215,109.709088374599
6870,49032,1115262.62819642,118.239712150147
6870,49033,1035101.01536865,117.974451977088
6870,49035,1120486.3478557,120.518610365436
6870,49037,1066388.0639536,119.897909624803
6870,49038,1053025.88270448,113.34811284327
6870,49039,1134138.38202891,123.55111237566
6870,49041,988250.891615035,96.9298646863901
6870,49045,1064922.09271667,109.518120690932
6870,49047,1049430.60742573,104.859670678376
6870,49048,1072181.34454907,109.607521804279
6870,49052,1115250.11024885,114.770167042598
6870,49055,1170066.65954749,119.609581654166
6870,49056,1180204.04806956,115.958449769235
6870,49058,1214888.97806165,119.827705542292
6870,49059,1090443.98877819,101.837238331841
6870,49063,1184952.86797706,110.859157510963
6870,49070,1228408.92400351,108.664989617743
6870,49073,1261921.58701855,112.870457703084
6870,49128,976432.281144911,112.132878130994
6870,50001,629191.35955607,135.898799661196
6870,50006,497635.199431771,171.130683434615
6870,50009,439684.739363677,138.941787497701
6870,50010,445574.229996229,146.469228131873
6870,50011,467106.280707806,151.06117078225
6870,50012,415140.676636241,158.265931292079
6870,50015,365029.830924418,136.017879841723
6870,50016,428405.781771752,137.732870394127
6870,50017,388569.076222452,143.556937072975
6870,50018,336429.693350533,138.767239999691
6870,50019,336337.823258911,159.791012003749
6870,50020,357406.988487156,157.972087775735
6870,50022,369297.812685536,111.576186349975
6870,50024,324233.820254661,123.095115031133
6870,50026,254238.332561805,123.069967425438
6870,50027,195246.572017703,153.255170613029
6870,50028,188521.118748809,137.860037376872
6870,50029,127931.880816177,161.919956912166
6870,50030,220883.421571945,166.645566953808
6870,50031,534124.463646252,88.3093464552615
6870,50032,481841.178786611,91.3643555821406
6870,50035,329336.227147414,107.097422898654
6870,50037,274246.238811298,104.579214915756
6870,50041,100796.673865441,105.611726818909
6870,50042,152604.912302659,98.646780132828
6870,50043,67126.781559632,145.984240804291
6870,50044,62605.8007756926,100.945225929372
6870,50045,346484.318181494,83.5293226230611
6870,50047,189822.184247111,55.6176696154378
6870,50049,111771.322256415,85.8184753951046
6870,50050,120337.036786186,73.9821085598403
6870,50051,115867.607124765,42.1895766353459
6870,50072,436772.482443899,94.6006210193666
6870,50073,384748.261731558,92.2839497699838
6870,50077,76093.1250737338,146.8459628372
6870,50081,159899.330301905,56.9296834594644
6870,50139,214377.483041567,111.179949400211
6870,51002,1908911.08666917,163.15862390985
6870,51006,1787388.28197242,158.437973744315
6870,51009,1915300.24646453,160.835618629264
6870,51010,1882038.65739194,161.947995505912
6870,51015,1857656.60127485,156.924459774799
6870,51101,1938394.41555967,163.813345850121
6870,52005,1288568.11461384,166.9989762617
6870,52006,1293891.03713905,168.377297629628
6870,52007,1341500.69224264,149.67829091754
6870,52010,1266342.35446491,156.909605157502
6870,52011,1215135.21330673,155.483006490192
6870,52015,1168894.94901782,165.610754733518
6870,52018,1179683.06829368,157.387994487955
6870,52027,1030306.26630015,155.532193972644
6870,52052,1340522.45190313,153.921229013594
6870,52053,1350806.32568752,155.890639535128
6870,52055,1274044.59734495,164.761063145626
6870,52058,1267666.92697913,154.691116421716
6870,52070,911304.948907754,163.704595795763
6870,52071,903469.850894251,168.524797510211
6870,52109,1264483.45115424,152.967217020289
6870,52126,1055509.27752497,151.10208246511
6870,52137,852375.038086706,169.085123960408
6870,53007,887448.747001465,-83.5351436028112
6870,53015,1265516.12199999,-87.9271016209147
6870,53018,1032048.87352892,-88.022601088924
6870,53025,1309470.821517,-88.8872858479221
6870,53026,1254734.29457349,-90.4096418544413
6870,53027,1169790.39560535,-91.8955300165562
6870,53030,974499.846730242,-97.9359085808975
6870,53034,625167.221536146,-102.701636845655
6870,53039,1075625.94341204,-99.5215311119059
6870,53040,978895.817535339,-100.457824669602
6870,53074,1270814.00349972,-85.4406406574859
6870,54002,843220.091104105,173.8314323264
6870,54012,764007.499710569,173.724003149035
