"ID","COUNT","Red","Green","Blue","Opacity","X2006.Color_Red","X2006.Color_Green","X2006.Color_Blue","X2011.Color_Red","X2011.Color_Green","X2011.Color_Blue","Change.Color_Red","Change.Color_Green","Change.Color_Blue","X2006.Code","X2011.Code","X2006.2011.Code","X2006.Class","X2011.Class","X2006.2011.Class"
73,128452534,0,0,0,255,0.847058823529412,0.576470588235294,0.509803921568627,0.847058823529412,0.576470588235294,0.509803921568627,0,0,0,22,22,2222,"Developed, Low Intensity","Developed, Low Intensity","Developed, Low Intensity to Developed, Low Intensity"
74,658047,237,0,0,255,0.847058823529412,0.576470588235294,0.509803921568627,0.929411764705882,0,0,0.929411764705882,0,0,22,23,2223,"Developed, Low Intensity","Developed, Medium Intensity","Developed, Low Intensity to Developed, Medium Intensity"
75,581074,170,0,0,255,0.847058823529412,0.576470588235294,0.509803921568627,0.666666666666667,0,0,0.666666666666667,0,0,22,24,2224,"Developed, Low Intensity","Developed, High Intensity","Developed, Low Intensity to Developed, High Intensity"
76,0,178,173,163,255,0.847058823529412,0.576470588235294,0.509803921568627,0.698039215686274,0.67843137254902,0.63921568627451,0.698039215686274,0.67843137254902,0.63921568627451,22,31,2231,"Developed, Low Intensity","Barren Land","Developed, Low Intensity to Barren Land"
77,0,104,170,99,255,0.847058823529412,0.576470588235294,0.509803921568627,0.407843137254902,0.666666666666667,0.388235294117647,0.407843137254902,0.666666666666667,0.388235294117647,22,41,2241,"Developed, Low Intensity","Deciduous Forest","Developed, Low Intensity to Deciduous Forest"
78,0,28,99,48,255,0.847058823529412,0.576470588235294,0.509803921568627,0.109803921568627,0.388235294117647,0.188235294117647,0.109803921568627,0.388235294117647,0.188235294117647,22,42,2242,"Developed, Low Intensity","Evergreen Forest","Developed, Low Intensity to Evergreen Forest"
79,0,181,201,142,255,0.847058823529412,0.576470588235294,0.509803921568627,0.709803921568627,0.788235294117647,0.556862745098039,0.709803921568627,0.788235294117647,0.556862745098039,22,43,2243,"Developed, Low Intensity","Mixed Forest","Developed, Low Intensity to Mixed Forest"
80,0,204,186,124,255,0.847058823529412,0.576470588235294,0.509803921568627,0.8,0.729411764705882,0.486274509803922,0.8,0.729411764705882,0.486274509803922,22,52,2252,"Developed, Low Intensity","Shrub/Scrub","Developed, Low Intensity to Shrub/Scrub"
81,0,226,226,193,255,0.847058823529412,0.576470588235294,0.509803921568627,0.886274509803922,0.886274509803922,0.756862745098039,0.886274509803922,0.886274509803922,0.756862745098039,22,71,2271,"Developed, Low Intensity","Grassland/Herbaceous","Developed, Low Intensity to Grassland/Herbaceous"
82,0,219,216,61,255,0.847058823529412,0.576470588235294,0.509803921568627,0.858823529411765,0.847058823529412,0.235294117647059,0.858823529411765,0.847058823529412,0.235294117647059,22,81,2281,"Developed, Low Intensity","Pasture/Hay","Developed, Low Intensity to Pasture/Hay"
83,0,170,112,40,255,0.847058823529412,0.576470588235294,0.509803921568627,0.666666666666667,0.43921568627451,0.156862745098039,0.666666666666667,0.43921568627451,0.156862745098039,22,82,2282,"Developed, Low Intensity","Cultivated Crops","Developed, Low Intensity to Cultivated Crops"
84,0,186,216,234,255,0.847058823529412,0.576470588235294,0.509803921568627,0.729411764705882,0.847058823529412,0.917647058823529,0.729411764705882,0.847058823529412,0.917647058823529,22,90,2290,"Developed, Low Intensity","Woody Wetlands","Developed, Low Intensity to Woody Wetlands"
85,0,112,163,186,255,0.847058823529412,0.576470588235294,0.509803921568627,0.43921568627451,0.63921568627451,0.729411764705882,0.43921568627451,0.63921568627451,0.729411764705882,22,95,2295,"Developed, Low Intensity","Emergent Herbaceous Wetlands","Developed, Low Intensity to Emergent Herbaceous Wetlands"
86,0,0,249,0,255,0.929411764705882,0,0,0,0.976470588235294,0,0,0.976470588235294,0,23,1,231,"Developed, Medium Intensity","Unclassified","Developed, Medium Intensity to Unclassified"
87,0,71,107,160,255,0.929411764705882,0,0,0.27843137254902,0.419607843137255,0.627450980392157,0.27843137254902,0.419607843137255,0.627450980392157,23,11,2311,"Developed, Medium Intensity","Open Water","Developed, Medium Intensity to Open Water"
88,0,209,221,249,255,0.929411764705882,0,0,0.819607843137255,0.866666666666667,0.976470588235294,0.819607843137255,0.866666666666667,0.976470588235294,23,12,2312,"Developed, Medium Intensity","Perennial Ice/Snow","Developed, Medium Intensity to Perennial Ice/Snow"
89,0,221,201,201,255,0.929411764705882,0,0,0.866666666666667,0.788235294117647,0.788235294117647,0.866666666666667,0.788235294117647,0.788235294117647,23,21,2321,"Developed, Medium Intensity","Developed, Open Space","Developed, Medium Intensity to Developed, Open Space"
90,0,216,147,130,255,0.929411764705882,0,0,0.847058823529412,0.576470588235294,0.509803921568627,0.847058823529412,0.576470588235294,0.509803921568627,23,22,2322,"Developed, Medium Intensity","Developed, Low Intensity","Developed, Medium Intensity to Developed, Low Intensity"
91,55356076,0,0,0,255,0.929411764705882,0,0,0.929411764705882,0,0,0,0,0,23,23,2323,"Developed, Medium Intensity","Developed, Medium Intensity","Developed, Medium Intensity to Developed, Medium Intensity"
92,91110,170,0,0,255,0.929411764705882,0,0,0.666666666666667,0,0,0.666666666666667,0,0,23,24,2324,"Developed, Medium Intensity","Developed, High Intensity","Developed, Medium Intensity to Developed, High Intensity"
93,0,178,173,163,255,0.929411764705882,0,0,0.698039215686274,0.67843137254902,0.63921568627451,0.698039215686274,0.67843137254902,0.63921568627451,23,31,2331,"Developed, Medium Intensity","Barren Land","Developed, Medium Intensity to Barren Land"
94,0,104,170,99,255,0.929411764705882,0,0,0.407843137254902,0.666666666666667,0.388235294117647,0.407843137254902,0.666666666666667,0.388235294117647,23,41,2341,"Developed, Medium Intensity","Deciduous Forest","Developed, Medium Intensity to Deciduous Forest"
95,0,28,99,48,255,0.929411764705882,0,0,0.109803921568627,0.388235294117647,0.188235294117647,0.109803921568627,0.388235294117647,0.188235294117647,23,42,2342,"Developed, Medium Intensity","Evergreen Forest","Developed, Medium Intensity to Evergreen Forest"
96,0,181,201,142,255,0.929411764705882,0,0,0.709803921568627,0.788235294117647,0.556862745098039,0.709803921568627,0.788235294117647,0.556862745098039,23,43,2343,"Developed, Medium Intensity","Mixed Forest","Developed, Medium Intensity to Mixed Forest"
97,0,204,186,124,255,0.929411764705882,0,0,0.8,0.729411764705882,0.486274509803922,0.8,0.729411764705882,0.486274509803922,23,52,2352,"Developed, Medium Intensity","Shrub/Scrub","Developed, Medium Intensity to Shrub/Scrub"
98,0,226,226,193,255,0.929411764705882,0,0,0.886274509803922,0.886274509803922,0.756862745098039,0.886274509803922,0.886274509803922,0.756862745098039,23,71,2371,"Developed, Medium Intensity","Grassland/Herbaceous","Developed, Medium Intensity to Grassland/Herbaceous"
99,0,219,216,61,255,0.929411764705882,0,0,0.858823529411765,0.847058823529412,0.235294117647059,0.858823529411765,0.847058823529412,0.235294117647059,23,81,2381,"Developed, Medium Intensity","Pasture/Hay","Developed, Medium Intensity to Pasture/Hay"
100,0,170,112,40,255,0.929411764705882,0,0,0.666666666666667,0.43921568627451,0.156862745098039,0.666666666666667,0.43921568627451,0.156862745098039,23,82,2382,"Developed, Medium Intensity","Cultivated Crops","Developed, Medium Intensity to Cultivated Crops"
101,0,186,216,234,255,0.929411764705882,0,0,0.729411764705882,0.847058823529412,0.917647058823529,0.729411764705882,0.847058823529412,0.917647058823529,23,90,2390,"Developed, Medium Intensity","Woody Wetlands","Developed, Medium Intensity to Woody Wetlands"
